Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,Fear,25.0,115445.395538,219,93,0,13233.776894977169,2898197.14,2556.850228310502,93,126,555.888761,47883.62595,0.0,0.4246575342465753,0.7380952380946523,114889.506777,1,47883.62595
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Fear,Extreme Fear,16.0,115287.0,55,1,0,24958.908545454546,1372739.97,2291.658181818182,1,54,137.273975,115287.0,0.0,0.01818181818181818,0.018518518518484225,115149.726025,1,115287.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Fear,Extreme Fear,20.0,9482.221441,45,36,0,2985.797555555556,134360.89,2262.84,36,9,6.71802,423.930704,0.0,0.8,3.9999999999555556,9475.503421,1,423.930704
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,Fear,33.0,533974.662903,641,540,0,8371.136099843994,5365898.24,1773.83503900156,540,101,268.294625,39686.70434,0.0,0.8424336973478939,5.346534653460052,533706.368278,1,39686.70434
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,Neutral,45.0,40200.0,5,4,0,79640.0,398200.0,1988.0,4,1,39.819998,33085.4844,0.0,0.8,3.9999999996,40160.180002,1,33085.4844
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,Fear,43.0,307855.80341,31,31,0,21491.640322580646,666240.85,1570.1,31,0,66.62407,135329.0901,5.658978,1.0,310000000000.0,307789.17934,1,135323.431122
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Greed,Extreme Greed,84.0,11715.94323,55,46,0,2469.9509090909087,135847.3,6.429436363636363,8,47,34.68082399,1911.599184,0.0,0.8363636363636363,0.17021276595708465,11681.26240601,1,1911.599184
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Greed,Extreme Greed,81.0,0.0,1,0,0,0.06,0.06,8.4961,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,Greed,72.0,0.0,34,0,0,1426.8700000000001,48513.58,12.89264705882353,34,0,1.31668822,0.0,0.0,0.0,340000000000.0,-1.31668822,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Greed,Extreme Greed,75.0,3515.031065,26,25,0,2001.101153846154,52028.630000000005,13.834769230769231,0,26,5.2028479999999995,2325.68845,0.0,0.9615384615384616,0.0,3509.828217,1,2325.68845
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Greed,Extreme Greed,78.0,0.0,46,0,0,1131.888695652174,52066.88,12.666630434782608,46,0,1.4383267,0.0,0.0,0.0,460000000000.0,-1.4383267,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Greed,Extreme Greed,78.0,2517.787385,64,63,0,852.88625,54584.72,13.295171875,0,64,19.104602,205.105422,0.0,0.984375,0.0,2498.682783,1,205.105422
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Greed,Extreme Greed,81.0,1613.165903,59,15,0,1913.523898305085,112897.91,25.3105593220339,44,15,20.81460217,1248.389773,0.0,0.2542372881355932,2.9333333333137777,1592.3513008300001,1,1248.389773
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Greed,Extreme Greed,75.0,0.0,1,0,0,0.11,0.11,23.218,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,Greed,74.0,1245.51851,34,21,0,10051.199411764705,341740.77999999997,3419.744117647059,13,21,119.60926,127.75,0.0,0.6176470588235294,0.6190476190446712,1125.9092500000002,1,127.75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,Greed,61.0,0.0,13,0,0,2845.9646153846156,36997.54,0.21101615384615385,13,0,61.51029,0.0,0.0,0.0,130000000000.0,-61.51029,0,0.0
